# Millis,estlat,estlon,nextwaypoint,bearing,distance,heading
15761,39.5974620,-104.9327790,2,176.50,6.184,214.000
15811,39.5974610,-104.9327800,2,175.80,6.089,214.500
15861,39.5974600,-104.9327810,2,175.10,5.993,210.600
15911,39.5974590,-104.9327810,2,174.50,5.896,210.700
15961,39.5974580,-104.9327820,2,173.80,5.801,207.300
16011,39.5974570,-104.9327830,2,173.20,5.701,206.800
16061,39.5974560,-104.9327830,2,172.50,5.603,203.100
16111,39.5974550,-104.9327840,2,171.90,5.504,203.000
16161,39.5974540,-104.9327840,2,171.30,5.404,199.400
16211,39.5974530,-104.9327850,2,170.80,5.305,196.800
16261,39.5974520,-104.9327850,2,170.20,5.200,193.500
16311,39.5974510,-104.9327850,2,169.80,5.098,190.900
16361,39.5974500,-104.9327860,2,169.30,4.989,188.500
16411,39.5974490,-104.9327860,2,168.90,4.879,185.300
16461,39.5974480,-104.9327860,2,168.60,4.773,183.300
16511,39.5974470,-104.9327860,2,168.30,4.660,180.200
16561,39.5974460,-104.9327860,2,168.00,4.547,178.600
16611,39.5974450,-104.9327860,2,167.80,4.438,174.500
16661,39.5974440,-104.9327860,2,167.60,4.333,173.100
16711,39.5974430,-104.9327850,2,167.50,4.212,169.300
16761,39.5974420,-104.9327850,2,167.50,4.097,168.100
16811,39.5974410,-104.9327850,2,167.60,3.981,164.300
16861,39.5974400,-104.9327840,2,167.70,3.866,163.500
16911,39.5974390,-104.9327840,2,167.90,3.756,159.500
16961,39.5974380,-104.9327840,2,168.10,3.642,159.000
17011,39.5974370,-104.9327830,2,168.50,3.529,155.100
17061,39.5974360,-104.9327820,2,168.90,3.417,155.100
17111,39.5974350,-104.9327820,2,169.50,3.306,150.800
17161,39.5974340,-104.9327810,2,170.20,3.192,151.400
17211,39.5974330,-104.9327800,2,170.90,3.089,147.600
17261,39.5974330,-104.9327800,2,171.80,2.978,148.200
17311,39.5974320,-104.9327790,2,172.80,2.874,144.700
17361,39.5974310,-104.9327780,2,173.90,2.777,146.400
17411,39.5974300,-104.9327770,2,175.20,2.669,141.600
17461,39.5974290,-104.9327770,2,176.60,2.573,143.800
17511,39.5974280,-104.9327760,2,178.20,2.475,139.700
17561,39.5974270,-104.9327750,2,180.00,2.381,142.200
17611,39.5974270,-104.9327740,2,-178.10,2.294,137.900
17661,39.5974260,-104.9327730,2,-176.00,2.207,140.900
17711,39.5974250,-104.9327720,2,-173.60,2.120,137.200
17761,39.5974240,-104.9327710,2,-171.20,2.045,140.400
17811,39.5974230,-104.9327700,2,-168.50,1.970,137.200
17861,39.5974230,-104.9327690,2,-165.50,1.896,140.800
17911,39.5974220,-104.9327680,2,-162.50,1.833,137.600
17961,39.5974210,-104.9327670,2,-159.10,1.770,141.700
18011,39.5974200,-104.9327670,2,-155.80,1.720,138.400
18061,39.5974190,-104.9327660,2,-152.30,1.672,143.400
18111,39.5974180,-104.9327650,2,-148.20,1.626,140.100
18161,39.5974180,-104.9327640,2,-144.30,1.589,144.800
18211,39.5974170,-104.9327630,2,-140.50,1.558,142.100
18261,39.5974160,-104.9327620,2,-136.10,1.531,147.800
18311,39.5974150,-104.9327620,2,-131.80,1.511,144.600
18361,39.5974140,-104.9327610,2,-127.80,1.499,150.200
18411,39.5974130,-104.9327600,2,-123.20,1.490,147.900
18461,39.5974130,-104.9327600,2,-119.20,1.487,153.700
18511,39.5974120,-104.9327590,2,-114.90,1.488,151.600
18561,39.5974110,-104.9327580,2,-110.50,1.495,157.300
18611,39.5974100,-104.9327580,2,-106.30,1.504,155.700
18661,39.5974090,-104.9327570,2,-102.50,1.518,161.700
18711,39.5974080,-104.9327570,2,-98.40,1.533,160.900
18761,39.5974070,-104.9327570,2,-94.50,1.552,166.900
18811,39.5974060,-104.9327560,2,-90.70,1.571,166.400
18861,39.5974050,-104.9327560,2,-87.00,1.594,172.500
18911,39.5974040,-104.9327560,2,-83.30,1.615,173.100
18961,39.5974030,-104.9327560,2,-79.50,1.640,179.500
19011,39.5974020,-104.9327560,2,-75.90,1.662,180.600
19061,39.5974010,-104.9327560,2,-72.40,1.685,186.900
19111,39.5974000,-104.9327560,2,-68.70,1.706,189.200
19161,39.5973990,-104.9327560,2,-65.30,1.727,195.700
19211,39.5973990,-104.9327570,2,-61.70,1.745,197.600
19261,39.5973980,-104.9327570,2,-58.10,1.764,204.100
19311,39.5973970,-104.9327580,2,-54.30,1.780,207.400
19361,39.5973960,-104.9327590,2,-50.70,1.794,214.500
19411,39.5973950,-104.9327590,2,-47.10,1.800,220.300
19461,39.5973940,-104.9327600,2,-43.20,1.804,227.200
19511,39.5973940,-104.9327610,2,-39.60,1.796,235.700
19561,39.5973930,-104.9327630,2,-35.70,1.783,242.800
19611,39.5973930,-104.9327640,2,-31.80,1.754,254.000
19661,39.5973920,-104.9327650,2,-28.00,1.720,261.100
19711,39.5973920,-104.9327670,2,-24.10,1.669,272.100
19761,39.5973920,-104.9327680,2,-20.20,1.612,279.300
19811,39.5973930,-104.9327700,2,-16.50,1.541,290.500
19861,39.5973930,-104.9327710,2,-12.50,1.460,297.600
19911,39.5973940,-104.9327720,2,-8.80,1.374,305.200
19961,39.5973940,-104.9327730,2,-5.00,1.286,311.800
20011,39.5973950,-104.9327750,2,-1.00,1.182,319.800
20061,39.5973960,-104.9327750,2,3.20,1.080,325.600
20111,39.5973970,-104.9327760,3,-82.30,6.709,332.400
20161,39.5973980,-104.9327770,3,-83.30,6.634,337.500
20211,39.5974000,-104.9327770,3,-84.40,6.581,347.600
20261,39.5974010,-104.9327780,3,-85.50,6.546,351.700
20311,39.5974020,-104.9327780,3,-86.70,6.536,4.600
20361,39.5974030,-104.9327780,3,-87.90,6.541,4.700
20411,39.5974040,-104.9327770,3,-89.00,6.570,20.500
20461,39.5974060,-104.9327770,3,-90.20,6.617,16.200
20511,39.5974070,-104.9327760,3,-91.30,6.681,35.700
20561,39.5974080,-104.9327750,3,-92.30,6.765,29.700
20611,39.5974090,-104.9327740,3,-93.20,6.861,44.500
20661,39.5974100,-104.9327730,3,-94.00,6.965,37.900
20711,39.5974110,-104.9327720,3,-94.90,7.076,48.000
20761,39.5974120,-104.9327700,3,-95.60,7.189,40.900
20811,39.5974130,-104.9327690,3,-96.40,7.305,47.400
20861,39.5974140,-104.9327680,3,-97.10,7.426,40.100
20911,39.5974150,-104.9327670,3,-97.90,7.542,44.800
20961,39.5974160,-104.9327650,3,-98.60,7.657,37.400
21011,39.5974170,-104.9327640,3,-99.40,7.772,39.600
21061,39.5974180,-104.9327630,3,-100.10,7.880,32.200
21111,39.5974190,-104.9327620,3,-101.00,7.987,33.600
21161,39.5974200,-104.9327610,3,-101.80,8.088,26.300
21211,39.5974210,-104.9327610,3,-102.60,8.179,26.000
21261,39.5974230,-104.9327600,3,-103.40,8.268,18.600
21311,39.5974240,-104.9327590,3,-104.30,8.348,18.100
21361,39.5974250,-104.9327590,3,-105.20,8.425,10.700
21411,39.5974270,-104.9327590,3,-106.10,8.487,11.000
21461,39.5974280,-104.9327580,3,-107.10,8.552,3.600
21511,39.5974290,-104.9327580,3,-107.90,8.603,4.100
21561,39.5974300,-104.9327580,3,-108.80,8.650,356.700
21611,39.5974320,-104.9327580,3,-109.70,8.691,357.700
21661,39.5974330,-104.9327580,3,-110.70,8.728,350.900
21711,39.5974340,-104.9327590,3,-111.50,8.756,351.000
21761,39.5974350,-104.9327590,3,-112.40,8.781,344.000
21811,39.5974370,-104.9327600,3,-113.30,8.798,344.700
21861,39.5974380,-104.9327600,3,-114.20,8.811,337.500
21911,39.5974390,-104.9327610,3,-115.00,8.815,337.800
21961,39.5974400,-104.9327610,3,-115.90,8.816,330.700
22011,39.5974410,-104.9327620,3,-116.80,8.809,330.800
22061,39.5974420,-104.9327630,3,-117.60,8.798,323.800
22111,39.5974430,-104.9327640,3,-118.40,8.778,322.500
22161,39.5974440,-104.9327650,3,-119.20,8.753,315.500
22211,39.5974440,-104.9327660,3,-119.90,8.716,310.000
22261,39.5974450,-104.9327670,3,-120.70,8.668,302.800
22311,39.5974460,-104.9327680,3,-121.40,8.602,290.300
22361,39.5974460,-104.9327690,3,-122.00,8.523,283.500
22411,39.5974460,-104.9327710,3,-122.50,8.439,276.700
22461,39.5974460,-104.9327720,3,-123.00,8.342,270.300
22511,39.5974460,-104.9327740,3,-123.40,8.244,264.800
22561,39.5974460,-104.9327750,3,-123.80,8.136,259.900
22611,39.5974450,-104.9327760,3,-123.60,8.048,191.600
22661,39.5974440,-104.9327760,3,-123.00,7.968,187.900
22711,39.5974430,-104.9327760,3,-122.30,7.905,175.800
